timestamp,event_type,cycle_id,data,metadata
1755192525.6031933,T1_image,cycle_610_1755192525603,640x480,
1755192525.6095684,T4a_wrist_tf,cycle_609_1755192525570,wrist,
1755192525.6330738,T4a_wrist_tf,cycle_610_1755192525603,wrist,
1755192525.637737,T1_image,cycle_611_1755192525637,640x480,
1755192525.664633,T4a_wrist_tf,cycle_611_1755192525637,wrist,
1755192525.6694024,T1_image,cycle_612_1755192525669,640x480,
1755192525.6962748,T4a_wrist_tf,cycle_612_1755192525669,wrist,
1755192525.7035494,T1_image,cycle_613_1755192525703,640x480,
1755192525.7261753,T4a_wrist_tf,cycle_613_1755192525703,wrist,
1755192525.7366107,T1_image,cycle_614_1755192525736,640x480,
1755192525.7613528,T4a_wrist_tf,cycle_614_1755192525736,wrist,
1755192525.7690394,T1_image,cycle_615_1755192525769,640x480,
1755192525.7966125,T5_command,cycle_615_1755192525769,gripper_open,
1755192525.7986448,T4a_wrist_tf,cycle_615_1755192525769,wrist,
1755192525.8037834,T1_image,cycle_616_1755192525803,640x480,
1755192525.8066225,T6_feedback,cycle_616_1755192525803,success:True,
1755192525.820898,T5_command,cycle_616_1755192525803,arm_pose,
1755192525.828248,T6_feedback,cycle_616_1755192525803,success:True,
1755192525.835846,T4a_wrist_tf,cycle_616_1755192525803,wrist,
1755192525.8390656,T1_image,cycle_617_1755192525839,640x480,
1755192525.930503,T4a_wrist_tf,cycle_617_1755192525839,wrist,
1755192525.930985,T4a_wrist_tf,cycle_617_1755192525839,wrist,
1755192525.9310186,T1_image,cycle_618_1755192525871,640x480,
1755192525.931977,T1_image,cycle_619_1755192525931,640x480,
1755192525.9330783,T4a_wrist_tf,cycle_619_1755192525931,wrist,
1755192525.9356182,T1_image,cycle_620_1755192525935,640x480,
1755192525.9645972,T4a_wrist_tf,cycle_620_1755192525935,wrist,
1755192525.9698803,T1_image,cycle_621_1755192525969,640x480,
1755192525.997186,T4a_wrist_tf,cycle_621_1755192525969,wrist,
1755192526.0030704,T1_image,cycle_622_1755192526003,640x480,
1755192526.0411234,T4a_wrist_tf,cycle_622_1755192526003,wrist,
